Team,Pot,Assoc,Group
Real Madrid,1,ESP,
Atletico Madrid,1,ESP,
Barcelona,1,ESP,
Bayern Munich,1,GER,
Manchester City,1,ENG,
Juventus,1,ITA,
Paris Saint-Germain,1,FRA,
Lokomotiv Moscow,1,RUS,
Borussia Drtmund,2,GER,
Porto,2,POR,
Manchester United,2,ENG,
Shakhtar Donetsk,2,UKR,
Benfica,2,POR,
Napoli,2,ITA,
Tottenham Hotspur,2,ENG,
Roma,2,ITA,
Liverpool,3,ENG,
Schalke,3,GER,
Lyon,3,FRA,
Monaco,3,FRA,
Ajax,3,NED,
CSKA Moscow,3,RUS,
Valencia,3,ESP,
PSV Eindhoven,3,NED,
Viktoria Plzen,4,CZE,
Club Brugge,4,BEL,
Galatasaray,4,TUR,
Young Boys,4,SUI,
Inter Milan,4,ITA,
Hoffenheim,4,GER,
Red Star Belgrade,4,SER,
AEK Athens,4,GRE,
